,time,TopTrafficLights,BottomTrafficLights,rightTrafficlights,1to2Ped,4to3Ped,2to3Ped,1to4Ped
614,2610.3,green,green,red,red,red,green,green
615,2610.4,green,green,red,red,red,green,green
616,2610.5,green,green,red,red,red,green,green
617,2610.6,green,green,red,red,red,green,green
618,2610.7,green,green,red,red,red,green,green
619,2610.8,green,green,red,red,red,green,green
620,2610.9,green,green,red,red,red,green,green
621,2611,green,green,red,red,red,green,green
622,2611.1,green,green,red,red,red,green,green
623,2611.2,green,green,red,red,red,green,green
624,2611.3,green,green,red,red,red,green,green
625,2611.4,green,green,red,red,red,green,green
626,2611.5,green,green,red,red,red,green,green
627,2611.6,green,green,red,red,red,green,green
628,2611.7,green,green,red,red,red,green,green
629,2611.8,green,green,red,red,red,green,green
630,2611.9,green,green,red,red,red,green,green
631,2612,green,green,red,red,red,green,green
632,2612.1,green,green,red,red,red,green,green
633,2612.2,green,green,red,red,red,green,green
634,2612.3,green,green,red,red,red,green,green
635,2612.4,green,green,red,red,red,green,green
636,2612.5,green,green,red,red,red,green,green
637,2612.6,green,green,red,red,red,green,green
638,2612.7,green,green,red,red,red,green,green
639,2612.8,green,green,red,red,red,green,green
640,2612.9,green,green,red,red,red,green,green
641,2613,green,green,red,red,red,green,green
642,2613.1,green,green,red,red,red,green,green
643,2613.2,green,green,red,red,red,green,green
644,2613.3,green,green,red,red,red,green,green
645,2613.4,green,green,red,red,red,green,green
646,2613.5,green,green,red,red,red,green,green
647,2613.6,green,green,red,red,red,green,green
648,2613.7,green,green,red,red,red,green,green
649,2613.8,green,green,red,red,red,green,green
650,2613.9,green,green,red,red,red,green,green
651,2614,green,green,red,red,red,green,green
652,2614.1,green,green,red,red,red,green,green
653,2614.2,green,green,red,red,red,green,green
654,2614.3,green,green,red,red,red,green,green
655,2614.4,green,green,red,red,red,green,green
